Index,Title,Year,Synopsis,Image Filename,URL
76,Heathers,1988,"A deliciously nasty black comedy, Heathers is set at a cliquish high school in Ohio. The most exclusive of those",heathers.jpg,https://www.rottentomatoes.com/m/heathers/
77,Kusama: Infinity,2018,"Now the top-selling female artist in the world, Yayoi Kusama overcame countless odds to bring her radical artistic vision to",kusama_infinity.jpg,https://www.rottentomatoes.com/m/kusama_infinity/
78,School Life,2017,"This observational documentary follows a year in the lives of two inspirational teachers at Headfort, the only primary-age boarding school",school_life.jpg,https://www.rottentomatoes.com/m/school_life/
79,National Lampoon's Vacation,1983,"The first film in the Vacation comedy franchise stars Chevy Chase as Clark Griswold, an ad exec who becomes consumed",national_lampoons_vacation.jpg,https://www.rottentomatoes.com/m/national_lampoons_vacation/
80,The Cabin in the Woods,2012,"Five friends go to a remote cabin in the woods. Bad things happen. If you think you know this story,",the_cabin_in_the_woods.jpg,https://www.rottentomatoes.com/m/the_cabin_in_the_woods/
81,Wild Rose,2019,"WILD ROSE tells the complicated story of Rose-Lynn, a woman on a quest to become a country music star, while",wild_rose_2019.jpg,https://www.rottentomatoes.com/m/wild_rose_2019/
82,Monos,2019,"MONOS, Alejandro Landes' third feature, is a survivalist saga set on a remote mountain in Latin America. The film tracks",monos.jpg,https://www.rottentomatoes.com/m/monos/
83,Antz,1998,"Central Park ant drone Z longs to be an individual of accomplishment, but Z's colony is a society that puts",antz.jpg,https://www.rottentomatoes.com/m/antz/
84,Vincere,2010,This unusual and offbeat historical drama rests on a little-known conceit. Though seldom discussed in history books (and reportedly undisclosed,vincere.jpg,https://www.rottentomatoes.com/m/vincere/
85,"Nico, 1988",2018,"NICO, 1988 follows the singer-songwriter, approaching 50, leading a solitary existence in Manchester, far from her 60s glam days as",nico_1988.jpg,https://www.rottentomatoes.com/m/nico_1988/
86,Risky Business,1983,Risky Business is the film in which 19-year-old Tom Cruise dances around his living room in his underwear. He does,1017641-risky_business.jpg,https://www.rottentomatoes.com/m/1017641-risky_business/
